id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3464146047,闻香识女人,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2550757929.jpg,1992-12-23(美国),https://movie.douban.com/subject/1298624/,9.1,剧情,,,,2022-08-19 20:27:13,
3464146024,爱乐之城,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2395517414.jpg,2017-02-14(中国大陆),https://movie.douban.com/subject/25934014/,8.4,"剧情,爱情,歌舞",,,,2022-08-19 20:27:12,
3464146003,沉默的羔羊,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1593414327.jpg,1991-02-14(美国),https://movie.douban.com/subject/1293544/,8.9,"剧情,犯罪,惊悚",,,,2022-08-19 20:27:11,
3464145913,那些年，我们一起追的女孩,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1348910586.jpg,2012-01-06(中国大陆),https://movie.douban.com/subject/4920528/,8.1,"剧情,喜剧,爱情",,,,2022-08-19 20:27:06,
3464145738,唐人街探案2,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2512717519.jpg,2018-02-16(中国大陆),https://movie.douban.com/subject/26698897/,6.6,"喜剧,动作,悬疑",,,,2022-08-19 20:26:57,
3464145574,心灵奇旅,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2626308994.jpg,2020-12-25(中国大陆/美国网络),https://movie.douban.com/subject/24733428/,8.7,"动画,奇幻,音乐",,,,2022-08-19 20:26:47,
3464145552,神偷奶爸,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p792776858.jpg,2010-06-20(莫斯科电影节),https://movie.douban.com/subject/3287562/,8.6,"喜剧,动画,冒险",,,,2022-08-19 20:26:45,
3464145536,七宗罪,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2219586434.jpg,1995-09-22(美国),https://movie.douban.com/subject/1292223/,8.8,"剧情,犯罪,悬疑",,,,2022-08-19 20:26:44,
3464145506,教父,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p616779645.jpg,1972-03-15(纽约首映),https://movie.douban.com/subject/1291841/,9.3,"剧情,犯罪",,,,2022-08-19 20:26:43,
3464145483,罗马假日,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2189265085.jpg,1953-08-20(威尼斯电影节),https://movie.douban.com/subject/1293839/,9.1,"喜剧,剧情,爱情",,,,2022-08-19 20:26:42,
